title,subj_terms,participant(s),reg_num,reg_date,t_type,conclusion_date,volume
Amendments to Regulation No. 8.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,24/07/1989,Open Multilateral,24/07/1989,1541
Amendments to Regulation No. 8.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,06/07/1986,Open Multilateral,06/07/1986,1429
Amendments to Regulation No. 79.  Uniform provisions concerning the approval of vehicles with regard to steeri...,"Motor vehicles
",,A-4789,14/08/1995,Open Multilateral,14/08/1995,1886
Amendments to Regulation No. 79.  Uniform provisions concerning the approval of vehicles with regard to steeri...,"Motor vehicles
",,A-4789,05/12/1994,Open Multilateral,05/12/1994,1843
Amendments to Regulation No. 79.  Uniform provisions concerning the approval of vehicles with regard to steeri...,"Motor vehicles
",,A-4789,11/02/1990,Open Multilateral,11/02/1990,1558
Amendments to Regulation No. 78.  Uniform provisions concerning the approval of vehicles of category L with ...,"Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 78.  Uniform provisions concerning the approval of vehicles of category L with ...,"Motor vehicles
",,A-4789,08/01/1995,Open Multilateral,08/01/1995,1849
Amendments to Regulation No. 78.  Uniform provisions concerning the approval of vehicles of category L with ...,"Motor vehicles
",,A-4789,22/02/1997,Open Multilateral,22/02/1997,1964
Amendments to Regulation No. 78.  Uniform provisions concerning the approval of vehicles of category L with ...,"Motor vehicles
",,A-4789,21/03/1995,Open Multilateral,21/03/1995,1861
Amendments to Regulation No. 78.  Uniform provisions concerning the approval of vehicles of category L with ...,"Motor vehicles
",,A-4789,22/11/1990,Open Multilateral,22/11/1990,1583
Amendments to Regulation No. 77.  Uniform provisions concerning the approval of parking lamps for power-driv...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 77.  Uniform provisions concerning the approval of parking lamps for power-driv...,"Motor vehicles
",,A-4789,24/09/1992,Open Multilateral,24/09/1992,1689
Amendments to Regulation No. 77.  Uniform provisions concerning the approval of parking lamps for power-driv...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 77.  Uniform provisions concerning the approval of parking lamps for power-driv...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 75.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,23/02/1997,Open Multilateral,23/02/1997,1964
Amendments to Regulation No. 75.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,26/12/1996,Open Multilateral,26/12/1996,1954
Amendments to Regulation No. 75.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,26/02/1996,Open Multilateral,26/02/1995,1914
Amendments to Regulation No. 75.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,23/10/1994,Open Multilateral,23/10/1994,1830
Amendments to Regulation No. 74.  Uniform provisions concerning the approval of mopeds with regard to the ...,"Motor vehicles
",,A-4789,03/09/2003,Open Multilateral,22/08/2003,2226
Amendments to Regulation No. 74.  Uniform provisions concerning the approval of mopeds with regard to the ...,"Motor vehicles
",,A-4789,03/09/2003,Open Multilateral,08/03/1999,2226
Amendments to Regulation No. 74.  Uniform provisions concerning the approval of mopeds with regard to the ...,"Motor vehicles
",,A-4789,09/06/1995,Open Multilateral,09/06/1995,1870
Amendments to Regulation No. 74.  Uniform provisions concerning the approval of mopeds with regard to the ...,"Motor vehicles
",,A-4789,17/11/1992,Open Multilateral,17/11/1992,1696
Amendments to Regulation No. 74.  Uniform provisions concerning the approval of category L1 vehicles with rega...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
"Amendments to Regulation No. 73.  Uniform provisions concerning the approval of goods vehicles, trailers a...","Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
"Amendments to Regulation No. 72.  ""Uniform provisions concerning the approval of motor cycle headlamps emitti...","Motor vehicles
",,A-4789,27/10/1992,Open Multilateral,27/10/1992,1693
Amendments to Regulation No. 70.  Uniform provisions concerning the approval of rear marking plates for hea...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 70.  Uniform provisions concerning the approval of rear marking plates for hea...,"Motor vehicles
",,A-4789,03/01/1998,Open Multilateral,03/01/1998,2000
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,24/09/1992,Open Multilateral,24/09/1992,1689
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,26/01/1994,Open Multilateral,26/01/1994,1763
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,24/07/1989,Open Multilateral,24/07/1989,1541
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,02/07/1987,Open Multilateral,02/07/1987,1466
Amendments to Regulation No. 7.  Uniform provisions concerning the approval of front and rear position (sid...,"Motor vehicles
",,A-4789,15/08/1985,Open Multilateral,15/08/1985,1404
Amendments to Regulation No. 69.  Uniform provisions concerning the approval of rear marking plates for ...,"Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 68.  Uniform provisions concerning the approval of power-driven vehicl...,"Motor vehicles
",,A-4789,30/11/1996,Open Multilateral,30/11/1996,1949
Amendments to Regulation No. 67.  Uniform provisions concerning:  I.  Approval of specific equipment of motor ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 67.  Uniform provisions concerning the approval of specific equipment of motor ...,"Motor vehicles
",,A-4789,09/02/1994,Open Multilateral,09/09/1993,1764
Amendments to Regulation No. 66.  Uniform provisions concerning the approval of large passenger vehicles wi...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 65.  Uniform provisions concerning the approval of special warning lamps for mot...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 65.  Uniform provisions concerning the approval of special warning lamps for mot...,"Motor vehicles
",,A-4789,23/01/1997,Open Multilateral,23/01/1997,1963
Amendments to Regulation No. 65.  Uniform provisions concerning the approval of special warning lamps for mot...,"Motor vehicles
",,A-4789,24/08/1993,Open Multilateral,24/08/1993,1731
Amendments to Regulation No. 64.  Uniform provisions concerning the approval of vehicles equipped with ...,"Motor vehicles
",,A-4789,17/09/1989,Open Multilateral,17/09/1989,1545
Amendments to Regulation No. 60.  Uniform provisions concerning the approval of two-wheeled motor cycl...,"Motor vehicles
",,A-4789,16/06/1995,Open Multilateral,16/06/1995,1870
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,27/06/1987,Open Multilateral,27/06/1987,1465
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,13/01/1993,Open Multilateral,13/01/1993,1702
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,02/12/1992,Open Multilateral,02/12/1992,1696
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,28/02/1990,Open Multilateral,28/02/1990,1559
Amendments to Regulation No. 6.  Uniform provisions concerning the approval of direction indicators f...,"Motor vehicles
",,A-4789,25/03/1989,Open Multilateral,25/03/1989,1526
Amendments to Regulation No. 59.  Uniform provisions concerning the approval of replacement silenci...,"Motor vehicles
",,A-4789,28/01/1990,Open Multilateral,28/01/1990,1557
Amendments to Regulation No. 59.  Uniform provisions concerning the approval of replacement silenci...,"Motor vehicles
",,A-4789,25/12/1994,Open Multilateral,25/12/1994,1844
Amendments to Regulation No. 58.  Uniform provisions concerning the approval of:  I. Rear underrun protecti...,"Motor vehicles
",,A-4789,25/03/1989,Open Multilateral,25/10/1988,1526
Amendments to Regulation No. 57. Uniform provisions concerning the approval of headlamps for motor ...,"Motor vehicles
",,A-4789,27/10/1992,Open Multilateral,27/10/1992,1693
Amendments to Regulation No. 57.  Uniform provisions concerning the approval of headlamps for motor ...,"Motor vehicles
",,A-4789,28/02/1989,Open Multilateral,28/02/1989,1525
Amendments to Regulation No. 57.  Uniform provisions concerning the approval of headlamps for motor ...,"Motor vehicles
",,A-4789,10/03/1995,Open Multilateral,10/03/1995,1860
Amendments to Regulation No. 56.  Uniform provisions concerning the  approval of headlamps for mopeds a...,"Motor vehicles
",,A-4789,10/03/1995,Open Multilateral,10/03/1995,1860
Amendments to Regulation No. 56.  Uniform provisions concerning the  approval of headlamps for mopeds a...,"Motor vehicles
",,A-4789,04/10/1987,Open Multilateral,04/10/1987,1483
Amendments to Regulation No. 55.  Uniform provisions concerning the approval of mechanical coupling ...,"Motor vehicles
",,A-4789,12/12/1993,Open Multilateral,12/12/1993,1753
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,10/06/1994,Open Multilateral,10/06/1994,1785
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,13/03/1988,Open Multilateral,13/03/1988,1495
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,22/02/1997,Open Multilateral,22/02/1997,1964
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,15/08/1995,Open Multilateral,15/08/1995,1886
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,26/12/1996,Open Multilateral,26/12/1996,1954
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,18/04/1995,Open Multilateral,18/04/1995,1863
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,14/01/1993,Open Multilateral,14/01/1993,1702
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,18/08/1991,Open Multilateral,18/08/1991,1647
Amendments to Regulation No. 54.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,03/09/1989,Open Multilateral,03/09/1989,1543
Amendments to Regulation No. 53.  Uniform provisions concerning the approval of motor cycles with regard ...,"Motor vehicles
",,A-4789,14/10/1990,Open Multilateral,14/10/1990,1580
Amendments to Regulation No. 53.  Uniform provisions concerning the approval of motor cycles with regard ...,"Motor vehicles
",,A-4789,16/06/1995,Open Multilateral,16/06/1995,1870
Amendments to Regulation No. 53.  Uniform provisions concerning the approval of L3 category vehicles (mot...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 52.  Uniform provisions concerning the construction of small capacity publ...,"Motor vehicles
",,A-4789,21/02/2002,Open Multilateral,21/02/2002,2173
Amendments to Regulation No. 52.  Uniform provisions concerning the construction of small capacity publ...,"Motor vehicles
",,A-4789,03/01/1998,Open Multilateral,03/01/1998,2000
Amendments to Regulation No. 52.  Uniform provisions concerning the construction of small capacity publ...,"Motor vehicles
",,A-4789,12/09/1995,Open Multilateral,12/09/1995,1887
Amendments to Regulation No. 52.  Uniform provisions concerning the approval of M2 and M3 small capacity ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,27/04/1988,Open Multilateral,27/04/1988,1502
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,05/05/1996,Open Multilateral,05/05/1996,1921
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,18/04/1995,Open Multilateral,18/04/1995,1863
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,12/09/1991,Open Multilateral,12/09/1991,1649
Amendments to Regulation No. 51.  Uniform provisions concerning the approval of motor vehicles having at lea...,"Motor vehicles
",,A-4789,21/10/1984,Open Multilateral,21/10/1984,1374
"Amendments to Regulation No. 50.  Uniform provisions concerning the approval of front position lamps, rear ...","Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
"Amendments to Regulation No. 50.  Uniform provisions concerning the approval of front position lamps, rear ...","Motor vehicles
",,A-4789,24/09/1992,Open Multilateral,24/09/1992,1689
"Amendments to Regulation No. 50.  Uniform provisions concerning the approval of front position lamps, rear ...","Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 49.  Uniform provisions concerning the approval of compression ignition ...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 49.  Uniform provisions concerning the approval of compression ignition ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,10/10/2006,Open Multilateral,10/10/2006,2390
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,10/10/2006,Open Multilateral,10/10/2006,2390
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,27/06/1987,Open Multilateral,27/06/1987,1465
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,20/12/1995,Open Multilateral,20/12/1995,1902
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,03/01/1998,Open Multilateral,03/01/1998,2000
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,09/02/1994,Open Multilateral,09/09/1993,1764
Amendments to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,08/01/1991,Open Multilateral,08/01/1991,1590
Amendments to Regulation No. 47.  Uniform provisions concerning the approval of mopeds equipped with a ...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,20/09/1994,Open Multilateral,20/04/1994,1823
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,27/08/1996,Open Multilateral,27/08/1996,1933
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,30/05/1988,Open Multilateral,30/05/1988,1505
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,05/10/1987,Open Multilateral,05/10/1987,1483
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,21/10/1984,Open Multilateral,21/10/1984,1374
Amendments to Regulation No. 46.  Uniform provisions concerning the approval of devices for indirect vision a...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 46.  Uniform provisions concerning the approval of devices for indirect vision a...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
"Amendments to Regulation No. 45.  Uniform provisions concerning the approval of headlamp cleaners, and of ...","Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
"Amendments to Regulation No. 45.  Uniform provisions concerning the approval of headlamp cleaners, and of ...","Motor vehicles
",,A-4789,03/01/1998,Open Multilateral,03/01/1998,2000
"Amendments to Regulation No. 45.  Uniform provisions concerning the approval of headlamp cleaners, and of ...","Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/05/1991,1607
"Amendments to Regulation No. 45.  Uniform provisions concerning the approval of headlamp cleaners, and of ...","Motor vehicles
",,A-4789,30/12/1990,Open Multilateral,30/12/1990,1589
"Amendments to Regulation No. 45.  Uniform provisions concerning the approval of headlamp cleaners, and of ...","Motor vehicles
",,A-4789,09/02/1988,Open Multilateral,09/02/1988,1492
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,28/02/1989,Open Multilateral,28/02/1989,1525
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,12/09/1995,Open Multilateral,12/09/1995,1887
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,26/01/1994,Open Multilateral,26/01/1994,1763
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,29/11/1990,Open Multilateral,29/11/1990,1585
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,08/11/1987,Open Multilateral,08/11/1987,1485
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,04/04/1986,Open Multilateral,04/04/1986,1423
Amendments to Regulation No. 44. Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,17/11/1982,Open Multilateral,17/11/1982,1294
Amendments to Regulation No. 44.  Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 44.  Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 44.  Uniform provisions concerning the approval of restraining devices f...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 43. Uniform provisions concerning the approval of safety glazing and glazing ...,"Motor vehicles
",,A-4789,31/03/1987,Open Multilateral,31/03/1987,1458
Amendments to Regulation No. 43. Uniform provisions concerning the approval of safety glazing and glazing ...,"Motor vehicles
",,A-4789,04/04/1986,Open Multilateral,04/04/1986,1423
Amendments to Regulation No. 43. Uniform provisions concerning the approval of safety glazing and glazing ...,"Motor vehicles
",,A-4789,14/10/1982,Open Multilateral,14/10/1982,1291
Amendments to Regulation No. 43.  Uniform provisions concerning the approval of safety glazing and glazing ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 43.  Uniform provisions concerning the approval of safety glazing and glazing ...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 42.  Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 41. Uniform provisions concerning the approval of motor cycles with regard ...,"Motor vehicles
",,A-4789,01/04/1994,Open Multilateral,01/04/1994,1774
Amendments to Regulation No. 41. Uniform provisions concerning the approval of motor cycles with regard ...,"Motor vehicles
",,A-4789,24/07/1984,Open Multilateral,24/07/1984,1364
Amendments to Regulation No. 40.  Uniform provisions concerning the approval of motor cycles equipped with...,"Motor vehicles
",,A-4789,12/06/2007,Open Multilateral,12/06/2007,2444
Amendments to Regulation No. 40.  Uniform provisions concerning the approval of motor cycles equipped with...,"Motor vehicles
",,A-4789,31/05/1988,Open Multilateral,31/05/1988,1505
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,28/02/1989,Open Multilateral,28/02/1989,1525
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/05/1991,1607
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,15/01/1997,Open Multilateral,15/01/1997,1962
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,06/05/1974,Open Multilateral,06/05/1974,932
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 4.  Uniform provisions for the approval of devices for the illumination of re...,"Motor vehicles
",,A-4789,19/08/1992,Open Multilateral,30/08/1992,1686
Amendments to Regulation No. 39.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,18/07/1988,Open Multilateral,18/07/1988,1509
Amendments to Regulation No. 38.  Uniform provisions concerning the approval of rear fog lamps for power-driv...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 38.  Uniform provisions concerning the approval of rear fog lamps for power-driv...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 38.  Uniform provisions concerning the approval of rear fog lamps for power-driv...,"Motor vehicles
",,A-4789,24/09/1992,Open Multilateral,24/09/1992,1689
Amendments to Regulation No. 38.  Uniform provisions concerning the approval of rear fog lamps for power-driv...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 38.  Uniform provisions concerning the approval of rear fog lamps for power-driv...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 38.  Uniform provisions concerning the approval of rear fog lamps for power-driv...,"Motor vehicles
",,A-4789,14/02/1989,Open Multilateral,14/02/1989,1523
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,30/03/1988,Open Multilateral,30/03/1988,1499
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,05/03/1995,Open Multilateral,05/03/1995,1860
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,16/06/1995,Open Multilateral,16/06/1995,1870
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,23/01/1997,Open Multilateral,23/01/1997,1963
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,16/12/1992,Open Multilateral,16/12/1992,1699
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,06/09/1992,Open Multilateral,06/09/1992,1688
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,29/11/1990,Open Multilateral,29/11/1990,1585
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,03/08/1989,Open Multilateral,03/08/1989,1543
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,23/07/1989,Open Multilateral,23/07/1989,1541
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,27/10/1987,Open Multilateral,27/10/1987,1484
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,23/10/1986,Open Multilateral,23/10/1986,1438
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,27/10/1983,Open Multilateral,27/05/1983,1336
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,29/10/1981,Open Multilateral,29/10/1981,1254
Amendments to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps for use in ...,"Motor vehicles
",,A-4789,01/06/1984,Open Multilateral,01/06/1984,1358
